timestamp,sensor_id,temperature,humidity
2026-06-15T12:00:00.000Z,SENS-03,99.99,51.51
2026-06-15T12:00:00.500Z,SENS-04,26.69,52.81
2026-06-15T12:00:00.500Z,SENS-04,26.69,52.81
2026-06-15T12:00:01.000Z,SENS-01,24.38,45.16
2026-06-15T12:00:01.500Z,SENS-03,30.56,41.23
2026-06-15T12:00:02.000Z,SENS-03,19.75,47.30
2026-06-15T12:00:02.000Z,SENS-03,19.75,47.30
2026-06-15T12:00:02.500Z,SENS-04,23.23,41.61
2026-06-15T12:00:03.000Z,SENS-01,18.70,55.07
2026-06-15T12:00:03.500Z,SENS-01,26.58,45.68
2026-06-15T12:00:03.500Z,SENS-01,26.58,45.68
2026-06-15T12:00:04.000Z,SENS-03,24.95,43.17
2026-06-15T12:00:04.500Z,SENS-01,30.83,45.92
2026-06-15T12:00:05.000Z,SENS-02,21.10,50.00
2026-06-15T12:00:05.500Z,SENS-03,22.85,51.51
2026-06-15T12:00:06.000Z,SENS-02,21.10,50.00
2026-06-15T12:00:06.500Z,SENS-04,26.69,52.81
2026-06-15T12:00:07.000Z,SENS-01,24.38,45.16
2026-06-15T12:00:07.500Z,SENS-02,28.40,49.12
2026-06-15T12:00:08.000Z,SENS-03,24.95,43.17
2026-06-15T12:00:08.500Z,SENS-03,24.95,43.17
2026-06-15T12:00:09.000Z,SENS-04,23.23,41.61
2026-06-15T12:00:09.500Z,SENS-01,30.83,45.92
2026-06-15T12:00:10.000Z,SENS-02,28.40,49.12
2026-06-15T12:00:10.500Z,SENS-01,42.69,55.07
2026-06-15T12:00:10.500Z,SENS-01,67.67,55.07
